Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
JEEP,Compass,'SUV - SMALL',2.4,4,A6,X,10.6,7.6,9.3,30,218
NISSAN,'JUKE AWD','STATION WAGON - SMALL',1.6,4,AV,Z,9.3,7.9,8.7,32,200
FORD,'Mustang Convertible',SUBCOMPACT,2.3,4,AS10,X,11.9,8.4,10.4,27,243
CHEVROLET,'Tahoe FFV','SUV - STANDARD',5.3,8,A6,E,21.2,13.9,17.9,16,298
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4,AV,X,7.6,5.5,6.7,42,157
KIA,'SORENTO AWD FE','SUV - SMALL',3.3,6,AS6,X,13.2,9.3,11.4,25,270
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,357
AUDI,'A4 quattro',COMPACT,2,4,AM7,Z,10,7,8.7,32,204
CADILLAC,'CTS Vsport',MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,311
SUBARU,'IMPREZA WAGON AWD','STATION WAGON - SMALL',2,4,M5,X,9.6,7.1,8.5,33,196
CADILLAC,'CT6 AWD',FULL-SIZE,3.6,6,AS10,X,13,8.8,11.1,25,261
FIAT,500X,'SUV - SMALL',1.4,4,M6,X,9.5,7.1,8.4,34,197
INFINITI,'QX60 HYBRID AWD','SUV - STANDARD',2.5,4,AV7,X,8.9,8.4,8.7,32,200
MERCEDES-BENZ,'CLA 250 4MATIC FFV',COMPACT,2,4,AS7,E,13.1,9.8,11.6,24,198
DODGE,'Charger SRT Hellcat',FULL-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
PORSCHE,PANAMERA,FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,255
GENESIS,'G70 AWD',COMPACT,2,4,AS8,Z,11.5,8.7,10.3,27,241
RAM,'1500 ECODIESEL HFE','PICKUP TRUCK - STANDARD',3,6,A8,D,11.3,8,9.8,29,264
CADILLAC,XT4,'SUV - SMALL',2,4,AS9,Z,9.8,7.8,8.9,32,209
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4,AS6,X,9.3,7.6,8.5,33,201
'ASTON MARTIN','V8 VANTAGE',TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
CADILLAC,SRX,'SUV - STANDARD',3.6,6,AS6,X,14.2,9.8,12.3,23,287
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3,6,AM8,Z,12.7,10.2,11.6,24,272
HONDA,CR-Z,TWO-SEATER,1.5,4,M6,X,7.6,6.1,6.9,41,159
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
DODGE,Challenger,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
BMW,'M235i CABRIOLET',SUBCOMPACT,3,6,M6,Z,12.1,8.4,10.5,27,246
NISSAN,'ARMADA 4WD','SUV - STANDARD',5.6,8,AS7,X,17.5,12.8,15.4,18,362
LEXUS,'GS 200t',MID-SIZE,2,4,AS8,Z,10.6,7.2,9,31,212
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4,AV,X,7.4,5.6,6.6,43,153
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,6,12,AS8,Z,19.6,11.7,16,18,375
AUDI,S4,COMPACT,3,6,M6,Z,13.8,9,11.7,24,269
JAGUAR,'F-TYPE COUPE',TWO-SEATER,3,6,AS8,Z,11.8,8.4,10.3,27,237
PORSCHE,PANAMERA,FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,255
NISSAN,Sentra,MID-SIZE,1.8,4,AV,X,8.1,6.3,7.3,39,172
TOYOTA,'TACOMA 4WD D-CAB OFF-ROAD','PICKUP TRUCK - SMALL',3.5,6,M6,X,13.8,11.7,12.9,22,300
KIA,'SORENTO 4WD','SUV - SMALL',3.3,6,A6,X,13.4,9.9,11.8,24,271
NISSAN,'MURANO AWD','STATION WAGON - MID-SIZE',3.5,6,AV7,X,11.2,8.4,9.9,29,232
DODGE,'DURANGO AWD (MDS)','SUV - STANDARD',5.7,8,A8,X,17.3,10.8,14.4,20,331
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.3,6,AS6,E,16.6,12.6,14.8,19,245
BUICK,ENCORE,'SUV - SMALL',1.4,4,AS6,X,9.5,7.2,8.5,33,196
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.5,3,AS6,Z,8.7,6.6,7.7,37,181
'ALFA ROMEO','Stelvio AWD','SUV - SMALL',2,4,A8,Z,10.8,8.3,9.6,29,226
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6,A8,Z,13.6,10.2,12.1,23,281
BMW,'X4 xDrive30i','SUV - SMALL',2,4,AS8,Z,10.8,8,9.6,29,223
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,AS8,Z,10.5,7.4,9.1,31,213
NISSAN,'370Z ROADSTER',TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,278
MITSUBISHI,RVR,'SUV - SMALL',2,4,AV6,X,9.7,7.8,8.8,32,204
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6,AS7,Z,9.1,7.7,8.5,33,200
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,302
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,A6,X,11.4,8.7,10.2,28,235
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6,A5,E,18.7,12.4,15.9,18,264
VOLVO,'V60 CC T5 AWD','STATION WAGON - SMALL',2,4,AS8,Z,10.8,7.6,9.3,30,218
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,302
JAGUAR,'E-PACE P250','SUV - SMALL',2,4,AS9,Z,11,8.4,9.8,29,231
SUBARU,'CROSSTREK AWD','SUV - SMALL',2,4,M6,X,10.5,8.1,9.4,30,220
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.4,7.5,8.5,33,199
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,M6,X,11.1,7.8,9.6,29,225
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,16,11.1,13.8,20,317
JAGUAR,'XJ R-SPORT AWD',FULL-SIZE,3,6,AS8,Z,14,9,11.8,24,276
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,E,19.7,14.3,17.3,16,288
HYUNDAI,'TUCSON AWD','SUV - SMALL',2,4,AS6,X,11,9,10.1,28,240
INFINITI,'Q60 COUPE',SUBCOMPACT,3.7,6,M6,Z,13.5,9.3,11.6,24,267
FORD,'FOCUS FFV',COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.4,7.6,37,177
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.7,8.2,8,35,186
FORD,'TRANSIT CONNECT','SPECIAL PURPOSE VEHICLE',1.6,4,AS6,X,10.8,8,9.5,30,218
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
'LAND ROVER',LR4,'SUV - STANDARD',3,6,AS8,Z,16.2,12.1,14.3,20,336
MINI,'Cooper S 3 Door',SUBCOMPACT,2,4,M6,Z,10.2,7.4,9,31,210
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6,A6,E,17.9,13,15.7,18,261
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,16,11.1,13.8,20,317
JAGUAR,'F-TYPE Coupe',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
SUBARU,'XV CROSSTREK AWD','SUV - SMALL',2,4,AV6,X,9.1,7,8.1,35,191
CADILLAC,'Escalade 4WD','SUV - STANDARD',6.2,8,A10,Z,16.6,10.9,14,20,328
'LAND ROVER','Range Rover SVAutobiography LWB','SUV - STANDARD',5,8,AS8,Z,17.9,12.7,15.5,18,365
MERCEDES-BENZ,'AMG SL 65',TWO-SEATER,6,12,AS7,Z,16.7,11.2,14.2,20,335
DODGE,'CHALLENGER SRT',MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
ROLLS-ROYCE,'PHANTOM DROPHEAD COUPE',COMPACT,6.7,12,A8,Z,20.7,12.7,17.1,17,393
KIA,'SOUL TURBO','STATION WAGON - SMALL',1.6,4,AM7,X,9.1,7.7,8.5,33,199
'LAND ROVER',LR4,'SUV - STANDARD',3,6,AS8,Z,16.2,12.1,14.3,20,336
FORD,ESCAPE,'SUV - SMALL',2,4,AS6,X,10.9,8,9.6,29,221
SUBARU,'XV CROSSTREK AWD','SUV - SMALL',2,4,AV6,X,9.1,7,8.1,35,191
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,X,15.8,11.9,14,20,329
MERCEDES-BENZ,'AMG GLE 63 S COUPE 4MATIC','SUV - STANDARD',5.5,8,AS7,Z,17.2,12.8,15.2,19,363
KIA,'SEDONA SX',MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,269
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,1.8,4,AS6,X,9.8,7.3,8.7,32,200
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4,A6,X,12,9.2,10.7,26,252
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,11.5,8.5,10.1,28,232
KIA,'Sportage AWD','SUV - SMALL',2.4,4,AS6,X,10.8,9.1,10,28,239
LEXUS,'IS 350 AWD',COMPACT,3.5,6,AS6,Z,12.6,9.1,11,26,253
'LAND ROVER','RANGE ROVER EVOQUE','SUV - SMALL',2,4,AS9,Z,11.3,7.9,9.7,29,229
AUDI,S4,COMPACT,3,6,AM8,Z,11.5,8,9.9,29,232
AUDI,Q3,COMPACT,2,4,AS6,Z,11.6,8.3,10.1,28,236
KIA,'SEDONA SX',MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,269
BMW,'440i Coupe',COMPACT,3,6,AS8,Z,11.2,7.3,9.4,30,227
CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.5,11.1,14,20,329
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8,35,187
DODGE,Challenger,MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
FORD,'Transit Connect Wagon LWB FFV','SPECIAL PURPOSE VEHICLE',2,4,AS8,E,13.7,11.1,12.5,23,208
AUDI,A8,FULL-SIZE,4,8,AS8,Z,15.1,9.1,12.4,23,290
JEEP,RENEGADE,'SUV - SMALL',2.4,4,A9,X,10.8,7.8,9.5,30,222
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
TOYOTA,HIGHLANDER,'SUV - SMALL',3.5,6,AS6,X,12.5,9.3,11.1,25,260
BUICK,ENCLAVE,'SUV - STANDARD',3.6,6,A6,X,14.3,9.9,12.3,23,283
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6,M7,Z,12.9,9,11.1,25,255
MAZDA,CX-9,'SUV - SMALL',3.7,6,AS6,X,14.2,10,12.3,23,283
BMW,'ALPINA B7 xDRIVE SWB',FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
FORD,FUSION,MID-SIZE,2.5,4,A6,X,11.3,7.5,9.6,29,224
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,A8,X,12.9,10.2,11.7,24,275
FORD,'E350 WAGON FFV','VAN - PASSENGER',5.4,8,A4,E,26.7,20.5,23.9,12,382
CHEVROLET,TRAX,'SUV - SMALL',1.4,4,AS6,X,9.2,7,8.2,34,189
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,E,20.2,15.2,18,16,294
HONDA,'CIVIC COUPE',COMPACT,2,4,AV,X,7.8,5.8,6.9,41,162
NISSAN,'MURANO AWD','STATION WAGON - MID-SIZE',3.5,6,AV7,X,11.2,8.4,9.9,29,232
HYUNDAI,'GENESIS AWD',FULL-SIZE,5,8,AS8,Z,17.3,10.5,14.2,20,327
MERCEDES-BENZ,'AMG SLC 43',TWO-SEATER,3,6,A9,Z,11.6,8.2,10.1,28,236
CHEVROLET,'EXPRESS 2500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,E,30.3,20.5,25.9,11,414
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.7,13.9,17.1,17,284
MERCEDES-BENZ,'GLC 300 4MATIC COUPE','SUV - SMALL',2,4,A9,Z,11,8.7,10,28,235
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8,35,187
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8,A8,Z,16.3,11,13.9,20,326
LEXUS,'GS 350 AWD',MID-SIZE,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
PORSCHE,'911 TURBO',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
BMW,'228i COUPE',SUBCOMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6,A8,Z,13.6,10.2,12.1,23,281
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4,AV6,X,9.9,8.1,9.1,31,209
AUDI,'RS 5',SUBCOMPACT,4.2,8,AM7,Z,14.9,10.1,12.8,22,294
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
INFINITI,'Q60 AWD',SUBCOMPACT,3,6,AS7,Z,12.3,8.7,10.7,26,251
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,A6,E,22.4,17,20,14,320
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,20.5,14.4,17.8,16,295
BMW,'750Li xDrive Sedan',FULL-SIZE,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
KIA,'SEDONA SX',MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,269
FORD,'ESCAPE AWD','SUV - SMALL',2,4,AS6,X,11.4,8.4,10,28,236
NISSAN,VERSA,COMPACT,1.6,4,M5,X,8.6,6.5,7.7,37,177
MERCEDES-BENZ,'C 300 4MATIC FFV',COMPACT,3.5,6,AS7,E,16.4,11.1,14,20,224
CHEVROLET,'CORVETTE Z06',TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
'ASTON MARTIN','Vantage V8',TWO-SEATER,4,8,M7,Z,16.7,11.2,14.2,20,333
CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.5,11.1,14,20,329
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,X,16.8,12.4,14.8,19,347
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
MERCEDES-BENZ,'C 350 COUPE',SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
BENTLEY,'Continental GT',COMPACT,6,12,AM8,Z,19,11.6,15.7,18,364
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
KIA,Sorento,'SUV - SMALL',2.4,4,AS6,X,10.7,8.2,9.6,29,225
KIA,'FORTE 5',FULL-SIZE,2,4,M6,X,9.7,6.9,8.4,34,197
'ALFA ROMEO','4C Coupe',TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,12,9.3,10.8,26,251
TOYOTA,Corolla,MID-SIZE,1.8,4,AV,X,8.3,6.5,7.5,38,174
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,6,12,AS8,Z,19.6,11.7,16,18,375
MERCEDES-BENZ,'AMG SL 65',TWO-SEATER,6,12,AS7,Z,16.7,11.2,14.2,20,335
FORD,'EXPEDITION 4X4','SUV - STANDARD',3.5,6,AS6,X,15.9,12,14.2,20,333
BMW,M5,MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,AS10,X,12.5,8.1,10.5,27,247
TOYOTA,86,MINICOMPACT,2,4,AS6,Z,9.9,7.3,8.7,32,204
MITSUBISHI,'Mirage G4',COMPACT,1.2,3,M5,X,7.2,5.9,6.6,43,153
MASERATI,'Ghibli S',MID-SIZE,3,6,AS8,Z,14.7,9.9,12.6,22,295
FORD,FOCUS,COMPACT,1,3,AS6,X,8.5,5.9,7.3,39,171
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,AM6,X,10.7,8,9.4,30,220
CHRYSLER,'TOWN & COUNTRY FFV',MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
FIAT,500L,'STATION WAGON - SMALL',1.4,4,M6,X,9.3,7.1,8.3,34,191
BMW,'435i xDRIVE COUPE',COMPACT,3,6,M6,Z,12.3,8.4,10.5,27,247
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.3,10.5,12.6,22,294
TOYOTA,'CAMRY HYBRID LE',MID-SIZE,2.5,4,AV6,X,4.9,4.8,4.9,58,113
BMW,'X4 M','SUV - SMALL',3,6,AS8,Z,16.6,12.1,14.6,19,339
MINI,'COOPER S CLUBMAN',MID-SIZE,2,4,M6,Z,10.8,7.7,9.4,30,220
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,X,16,11.1,13.8,20,317
LEXUS,'LS 460 AWD',MID-SIZE,4.6,8,AS8,Z,15.2,10.2,12.9,22,303
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2,4,AS6,Z,9.4,7.5,8.5,33,199
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2,4,AS6,X,11.5,8.5,10.2,28,235
RAM,'1500 ECODIESEL HFE','PICKUP TRUCK - STANDARD',3,6,A8,D,11.3,8,9.8,29,264
MINI,'Cooper Countryman ALL4',MID-SIZE,1.5,3,AS8,Z,9.8,7.1,8.6,33,200
INFINITI,'Q60 AWD',SUBCOMPACT,2,4,AS7,Z,11.2,8.5,10,28,233
AUDI,'RS 5',SUBCOMPACT,4.2,8,AM7,Z,14.9,10.1,12.8,22,294
HONDA,HR-V,'STATION WAGON - SMALL',1.8,4,M6,X,9.4,7.1,8.4,34,195
NISSAN,'JUKE AWD','STATION WAGON - SMALL',1.6,4,AV,Z,9.3,7.9,8.7,32,200
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2,4,AS7,Z,9.8,7.4,8.7,32,200
CHEVROLET,'Camaro SS',SUBCOMPACT,6.2,8,M6,Z,14.9,9.9,12.6,22,296
TOYOTA,86,MINICOMPACT,2,4,AS6,Z,9.9,7.3,8.7,32,204
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,175
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,12,9.3,10.8,26,251
MERCEDES-BENZ,'E 350 4MATIC COUPE',SUBCOMPACT,3.5,6,AS7,Z,11.9,8.5,10.4,27,239
HYUNDAI,Elantra,MID-SIZE,1.6,4,AM7,X,8.9,7,8.1,35,192
CADILLAC,'Escalade 4WD','SUV - STANDARD',6.2,8,A10,Z,16.6,10.9,14,20,328
FIAT,'500 HATCHBACK',MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
HYUNDAI,'TUCSON 4WD','SUV - SMALL',2,4,A6,X,11.4,9.3,10.5,27,242
INFINITI,'Q50S AWD',MID-SIZE,3,6,AS7,Z,12.9,9,11.1,25,262
VOLKSWAGEN,'Beetle Dune Convertible',SUBCOMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
MAZDA,'Mazda3 5-Door (SIL)',MID-SIZE,2,4,M6,X,8.7,6.6,7.8,36,181
INFINITI,QX30,COMPACT,2,4,AM7,Z,9.7,7.1,8.5,33,200
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A6,X,17.7,12.7,15.4,18,362
VOLKSWAGEN,'Jetta GLI',COMPACT,2,4,M6,X,9.6,7.1,8.5,33,198
JEEP,RENEGADE,'SUV - SMALL',2.4,4,A9,X,10.8,7.8,9.5,30,222
VOLKSWAGEN,CC,COMPACT,2,4,M6,Z,11.4,7.4,9.6,29,221
FIAT,'500 ABARTH CABRIO',MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
'ALFA ROMEO','Stelvio AWD','SUV - SMALL',2,4,A8,Z,10.8,8.3,9.6,29,226
GENESIS,'G70 AWD',COMPACT,2,4,AS8,Z,11.5,8.7,10.3,27,241
JAGUAR,'XF 20d AWD',MID-SIZE,2,4,AS8,D,7.8,5.8,6.9,41,186
LINCOLN,'NAVIGATOR 4X4','SUV - STANDARD',3.5,6,AS6,X,15.9,12,14.2,20,333
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
MINI,'Cooper Countryman ALL4',MID-SIZE,1.5,3,AS8,Z,9.8,7.1,8.6,33,200
MERCEDES-BENZ,'B 250 4MATIC',MID-SIZE,2,4,AS7,Z,10,7.5,8.9,32,206
BMW,'328i xDRIVE TOURING','STATION WAGON - SMALL',2,4,AS8,Z,10.5,6.9,8.9,32,209
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
MINI,'Cooper Clubman ALL4',MID-SIZE,1.5,3,AS8,Z,9.7,7,8.5,33,197
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',3.3,6,AS6,E,17.6,13.7,15.8,18,263
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3.4,6,M7,Z,12.5,9,10.9,26,257
GMC,Terrain,'SUV - SMALL',1.6,4,A6,D,8.5,6,7.4,38,199
DODGE,'CHARGER AWD FFV',FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,248
ACURA,'RDX AWD','SUV - SMALL',3.5,6,AS6,Z,12.4,8.7,10.7,26,250
MERCEDES-BENZ,'AMG SL 65',TWO-SEATER,6,12,AS7,Z,16.7,11.2,14.2,20,335
KIA,'Sorento AWD','SUV - SMALL',3.3,6,AS8,X,12.3,9.5,11.1,25,261
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.8,4,M5,X,9,6.8,8,35,187
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196
PORSCHE,'911 CARRERA',MINICOMPACT,3.4,6,M7,Z,12.5,8.6,10.7,26,246
FORD,'Escape AWD','SUV - SMALL',2,4,AS8,X,10.4,7.5,9.1,31,213
CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.6,11.1,14.1,20,332
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,Z,8.5,6.9,7.8,36,183
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',4.3,6,A6,E,20.2,15.2,18,16,294
BMW,'428i xDRIVE GRAN COUPE',COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
HONDA,'Civic Sedan',MID-SIZE,2,4,M6,X,9.3,6.5,8,35,186
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15,10.7,13.1,22,306
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,19,13.9,16.7,17,384
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6,M7,Z,12.9,9,11.1,25,255
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,6,A9,X,12.7,9.5,11.3,25,265
'ALFA ROMEO','Stelvio AWD Quadrifoglio','SUV - SMALL',2.9,6,A8,Z,13.9,10.3,12.3,23,288
AUDI,'A4 allroad quattro','STATION WAGON - SMALL',2,4,AM7,Z,10,7.4,8.8,32,206
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6,A6,E,18.8,13.1,16.2,17,259
HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.9,6.6,7.9,36,182
BMW,'530i xDRIVE',MID-SIZE,2,4,AS8,Z,10.5,7.4,9.1,31,213
VOLKSWAGEN,'Beetle Dune Convertible',SUBCOMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4,A6,X,9,6.1,7.7,37,181
FORD,'TAURUS AWD',FULL-SIZE,3.5,6,AS6,X,13.9,9.5,11.9,24,274
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3,6,M7,Z,12.9,9.1,11.1,25,260
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,209
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,305
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE LOCK','SUV - SMALL',3.2,6,A9,X,12.9,9.9,11.6,24,269
INFINITI,'Q60 COUPE',SUBCOMPACT,3.7,6,AS7,Z,12.9,8.9,11.1,25,255
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,181
CHEVROLET,SUBURBAN,'SUV - STANDARD',5.3,8,A6,X,14.9,10.1,12.7,22,292
CHEVROLET,'EXPRESS 1500 CARGO CONV AWD','VAN - CARGO',5.3,8,A4,X,18.3,14.2,16.5,17,380
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4,AS6,X,9.3,7.6,8.5,33,201
DODGE,'Charger (MDS)',FULL-SIZE,5.7,8,A5,X,15.6,9.7,12.9,22,302
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.8,7,8.5,33,198
JEEP,COMPASS,'SUV - SMALL',2.4,4,A6,X,11.1,8.3,9.8,29,225
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,6,12,AS8,Z,19.6,11.7,16,18,375
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
